Row ID;Order ID;OrderDate;OrderPriority;OrderQuantity;Sales;Sales2;Discount;ShipMode;Profit;UnitPrice;ShippingCost;CustomerName;Province;Region;CustomerSegment;ProductCategory;ProductSubCategory;ProductName;ProductContainer;ProductBaseMargin;ShipDate
1;3;13-10-2017;Low;6;261,54;261,54;0,04;Regular Air;-293,25;38,94;35;Muhammed MacIntyre;Nunavut;Nunavut;Small Business;Office Supplies;Storage & Organization;Eldon Base for stackable storage shelf, platinum;Large Box;0,8;20-10-2017
2;6;20-02-2019;Not Specified;2;6,93;6,93;0,01;Regular Air;-84,64;2,08;2,56;Ruben Dartt;Alberta;West;Corporate;Office Supplies;Scissors, Rulers and Trimmers;Kleencut® Forged Office Shears by Acme United Corporation;Small Pack;0,55;21-02-2019
3;32;15-07-2018;High;26;2408,08;2808,08;0,07;Regular Air;994,82;107,53;5,81;Liz Pelletier;Alberta;West;Corporate;Furniture;Office Furnishings;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";Medium Box;0,65;17-07-2018
4;32;15-07-2018;High;24;1361,4;1761,4;0,09;Delivery Truck;-1808,56;70,89;89,3;Liz Pelletier;Alberta;West;Corporate;Furniture;Tables;KI Conference Tables;Jumbo Box;0,72;16-07-2018
5;32;15-07-2018;High;23;160,2335;160,2335;0,04;Regular Air;-465,129;7,99;5,03;Liz Pelletier;Alberta;West;Corporate;Technology;Telephones and Communication;Bell Sonecor JB700 Caller ID;Medium Box;0,6;17-07-2018
6;32;15-07-2018;High;15;140,56;140,56;0,04;Regular Air;-508,38;8,46;8,99;Liz Pelletier;Saskachewan;Prarie;Corporate;Technology;Computer Peripherals;Imation 3.5 IBM Diskettes, 10/Box;Small Pack;0,79;16-07-2018
7;35;22-10-2018;Not Specified;30;288,56;288,56;0,03;Regular Air;-19,28;9,11;2,25;Julie Creighton;British Columbia;West;Corporate;Office Supplies;Pens & Art Supplies;Dixon Ticonderoga Core-Lock Colored Pencils;Wrap Bag;0,52;23-10-2018
8;35;22-10-2018;Not Specified;14;1492,848;1892,848;0,01;Regular Air;-331,013;155,99;8,99;Julie Creighton;British Columbia;West;Corporate;Technology;Telephones and Communication;CF 688;Small Box;0,58;24-10-2018
9;36;02-11-2018;Critical;46;2084,7455;2484,7455;0,1;Regular Air;277,477;65,99;4,2;Sample Company A;Alberta;West;Home Office;Technology;Telephones and Communication;6162i;Small Box;0,55;02-11-2018
10;65;17-03-2018;Critical;32;3412,73;3812,73;0,02;Regular Air;1090,3;115,79;1,99;Tamara Dahlen;Ontario;Ontario;Corporate;Technology;Computer Peripherals;Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle;Small Pack;0,49;18-03-2018
11;66;19-01-2016;Low;41;108,15;108,15;0,09;Regular Air;-72,43;2,88;0,7;Arthur Gainer;Alberta;West;Consumer;Office Supplies;Pens & Art Supplies;Newell 340;Wrap Bag;0,56;19-01-2016
12;69;03-06-2016;Not Specified;42;1186,06;1186,06;0,09;Regular Air;451,69;30,93;3,92;Jonathan Doherty;Saskachewan;Prarie;Corporate;Furniture;Office Furnishings;Advantus Employee of the Month Certificate Frame, 11 x 13-1/2;Small Pack;0,44;05-06-2016
13;69;03-06-2016;Not Specified;28;51,53;51,53;0,03;Express Air;-79,65;1,68;0,7;Jonathan Doherty;Saskachewan;Prarie;Corporate;Office Supplies;Pens & Art Supplies;Newell 308;Wrap Bag;0,6;05-06-2016
14;70;17-12-2017;Low;48;90,05;90,05;0,03;Regular Air;-187;1,86;2,58;Helen Wasserman;Quebec;Quebec;Home Office;Office Supplies;Rubber Bands;Super Bands, 12/Pack;Wrap Bag;0,82;22-12-2017
15;70;17-12-2017;Low;46;7804,53;7804,53;0,05;Regular Air;1677,166;205,99;5,99;Helen Wasserman;Quebec;Quebec;Home Office;Technology;Telephones and Communication;3285;Small Box;0,59;22-12-2017
16;96;16-04-2016;High;37;4158,1235;4158,1235;0,01;Regular Air;848,887;125,99;8,99;Keith Dawkins;Manitoba;Prarie;Home Office;Technology;Telephones and Communication;SC7868i;Small Box;0,55;18-04-2016
17;97;28-01-2017;Medium;26;75,57;75,57;0,03;Regular Air;-51,76;2,89;0,5;Craig Yedwab;Yukon;Yukon;Consumer;Office Supplies;Labels;Avery 498;Small Box;0,38;29-01-2017
18;129;18-11-2019;Low;4;32,72;32,72;0,09;Regular Air;-102,59;6,48;8,19;Pauline Chand;Ontario;Ontario;Corporate;Office Supplies;Paper;Xerox 217;Small Box;0,37;27-11-2019
19;130;07-05-2019;High;3;461,89;461,89;0,05;Express Air;-689,8244;150,98;13,99;Roy Collins;Saskachewan;Prarie;Corporate;Technology;Office Machines;Canon MP41DH Printing Calculator;Medium Box;0,38;09-05-2019
20;130;07-05-2019;High;29;575,11;575,11;0,02;Regular Air;-8,25;18,97;9,03;Roy Collins;Saskachewan;Prarie;Corporate;Office Supplies;Paper;Computer Printout Paper with Letter-Trim Perforations;Small Box;0,37;08-05-2019
21;130;07-05-2019;High;23;236,46;236,46;0,05;Regular Air;-214,31;9,71;9,45;Roy Collins;Saskachewan;Prarie;Corporate;Office Supplies;Storage & Organization;Filing/Storage Totes and Swivel Casters;Small Box;0,6;10-05-2019
22;132;10-06-2017;Medium;27;192,814;192,814;0,03;Regular Air;-466,196;7,99;5,03;Emily Phan;Quebec;Quebec;Consumer;Technology;Telephones and Communication;Bell Sonecor JB700 Caller ID;Medium Box;0,6;11-06-2017
23;132;10-06-2017;Medium;30;4011,65;4011,65;0,05;Delivery Truck;-663,8;130,98;54,74;Emily Phan;Nova Scotia;Atlantic;Consumer;Furniture;Bookcases;O'Sullivan Elevations Bookcase, Cherry Finish;Jumbo Box;0,69;13-06-2017
24;134;30-04-2019;Not Specified;11;1132,6;1132,6;0,01;Regular Air;-390,21;95,99;35;Michael Dominguez;Ontario;Ontario;Home Office;Office Supplies;Storage & Organization;Safco Industrial Wire Shelving;Large Box;;02-05-2019
